key,place_name,admin_name1,latitude,longitude,accuracy
IN/110051,Azad Nagar,New Delhi,28.6167,77.2167,
IN/110052,Wazirpur Phase Iii,New Delhi,28.6167,77.2167,
IN/110053,Zafrabad,New Delhi,28.6167,77.2167,
IN/110054,Civil Lines,New Delhi,28.6167,77.2167,
IN/110055,Paharganj,New Delhi,28.6167,77.2167,4
IN/110056,Shakurbasti,New Delhi,28.6167,77.2167,
IN/110057,Munirka,New Delhi,28.6167,77.2167,
IN/110058,Janakpuri,New Delhi,28.6167,77.2167,
IN/110059,Uttam Nagar,New Delhi,28.6167,77.2167,
IN/110060,New Rajinder Nagar,New Delhi,28.6488,77.1726,
IN/110061,Bijwasan,New Delhi,28.6488,77.1726,
IN/110062,Hamdard Nagar,New Delhi,28.6488,77.1726,
IN/110063,Paschim Vihar,New Delhi,28.6488,77.1726,
IN/110064,Hari Nagar Be Block,New Delhi,28.6488,77.1726,
IN/110065,East Of Kailash,New Delhi,28.6488,77.1726,
IN/110066,R K Puram,New Delhi,28.6488,77.1726,
IN/110067,D D A Munirka,New Delhi,28.6488,77.1726,
IN/110070,Vasant Kunj,New Delhi,28.6528,76.9539,
IN/110071,Chhawla,New Delhi,28.6528,76.9539,
IN/110072,Jharoda Kalan,New Delhi,28.6528,76.9539,4
IN/110073,Ujwa,New Delhi,28.6528,76.9539,
IN/110081,Kanjhawala,New Delhi,28.6488,77.1726,
IN/110082,Khera Kalan,New Delhi,28.6488,77.1726,
IN/110083,Mangolpuri Block A,New Delhi,28.6488,77.1726,
IN/110084,Kutubgarh,New Delhi,28.6488,77.1726,
IN/110088,Shalimar Bagh,New Delhi,28.7165,77.1629,6
IN/110091,Himmatpuri,New Delhi,28.6488,77.1726,
IN/110092,Shakarpur,New Delhi,28.6488,77.1726,
IN/110093,Nand Nagri A Block,New Delhi,28.6488,77.1726,
IN/110094,Gokulpuri,New Delhi,28.6488,77.1726,
IN/110096,Bhajan Pura,New Delhi,28.6488,77.1726,
IN/121001,Faridabad,Uttar Pradesh,28.9915,76.2541,
IN/121002,Faridabad,Uttar Pradesh,28.9915,76.2541,
IN/121005,Faridabad Sector 22,Uttar Pradesh,28.9915,76.2541,
IN/121006,Industrial Estate,Uttar Pradesh,28.9915,76.2541,
IN/121007,Faridabad,Uttar Pradesh,28.9915,76.2541,
IN/121101,Tigaon,Uttar Pradesh,28.9915,76.2541,
IN/121102,Palwal,Uttar Pradesh,28.9915,76.2541,
IN/122001,Gurgaon Kutchery,Haryana,28.09,76.9567,
IN/122005,Air Force Gurgaon,Haryana,28.09,76.9567,
IN/122015,Gurgaon Palampur Road,Haryana,28.09,76.9567,
IN/122016,Dundahera,Haryana,28.09,76.9567,
IN/122050,Manesar,Haryana,28.09,76.9567,
IN/122101,Badshahpur,Haryana,28.4,77.05,4
IN/122103,Sohna(Gurgaon),Haryana,28.09,76.9567,
IN/122104,Ferozepur Jhirka,Haryana,27.8,76.95,4
IN/122105,Taura,Haryana,28.09,76.9567,
IN/122106,Dharuhera,Haryana,28.2167,76.7833,4
IN/122107,Nuh,Haryana,28.1167,77.0167,4
IN/122108,Nagina,Haryana,27.9167,76.9833,4
IN/122109,Daulatabad (Gurgaon),Haryana,28.09,76.9567,
IN/122211,Palmar,Haryana,28.09,76.9567,
IN/123001,Narnaul Kutchery,Haryana,28.5,76.2111,
IN/123020,Sanwar,Haryana,28.5,76.2111,
IN/123021,Mandi Ateli,Haryana,28.5,76.2111,
IN/123023,Nangal Chaudhary,Haryana,28.5,76.2111,
IN/123024,Satnali,Haryana,28.3833,75.9667,4
IN/123025,Baund,Haryana,28.7833,76.35,4
IN/123027,Kanina,Haryana,28.3333,76.3167,4
IN/123028,Nangal Sirohi,Haryana,28.5,76.2111,
IN/123029,Mohindergarh,Haryana,28.5,76.2111,
IN/123034,Bawania,Haryana,28.5,76.2111,
IN/123035,Pahlawas,Haryana,28.5,76.2111,
IN/123201,Loharu,Haryana,28.45,75.8167,4
IN/123301,Guriani,Haryana,28.35,76.5167,4
IN/123306,Charkhi Dadri Factory,Haryana,28.6,76.2667,
IN/123307,Achina,Haryana,28.6833,76.3667,4
IN/123308,Badhra,Haryana,28.5444,76.3833,
IN/123310,Jhoju Kalan,Haryana,28.5444,76.3833,
IN/123401,Model Town Rewari,Haryana,28.1833,76.6167,
IN/123411,Dahina,Uttar Pradesh,28.1833,76.6167,
IN/123412,Dharan,Haryana,28.1833,76.6167,
IN/123413,Akheri Madanpur,Haryana,28.1833,76.6167,
IN/123414,Nanu Kalan,Haryana,28.1833,76.6167,
IN/123501,Bawal,Haryana,28.0833,76.5833,4
IN/123502,Khalilpur,Haryana,28.2833,76.7667,
IN/123503,Pataudi,Haryana,28.3167,76.7833,4
IN/123504,Haily Mandi,Haryana,28.2833,76.7667,
IN/123505,Garhi Harsaru,Haryana,28.45,76.9333,4
IN/123506,Farrukh Nagar,Haryana,28.2833,76.7667,
IN/123508,Jatauli,Haryana,28.2833,76.7667,
IN/124001,Rohtak,Haryana,28.9,76.5667,4
IN/124003,Vaish High Schl Rohtak,Haryana,28.9,76.5667,
IN/124004,G K Singhpur,Haryana,28.9,76.5667,
IN/124005,Titauli,Haryana,28.9,76.5667,
IN/124006,Makrauli Kalan,Haryana,28.9,76.5667,
IN/124007,Samargopalpur,Haryana,28.9,76.5667,
IN/124021,Asthal Bohar,Haryana,28.8667,76.45,
IN/124022,Morkhra,Haryana,28.8667,76.45,
IN/124024,Lahli,Haryana,28.8667,76.45,4
IN/124025,Kharawal,Haryana,28.8667,76.45,
IN/124028,Basana,Haryana,28.8667,76.45,
IN/124029,Baland,Haryana,28.8667,76.45,
IN/124030,Gharauthi,Haryana,28.8833,76.5083,
IN/124031,Maina,Haryana,28.8833,76.5083,
IN/124101,Barhana,Haryana,28.62,76.67,
IN/124102,Dujana,Haryana,28.6833,76.6167,4
IN/124103,Jhajar H O,Haryana,28.62,76.67,
IN/124104,Jhajjar,Haryana,28.6167,76.65,4
IN/124105,Badli,Haryana,28.5833,76.8167,4
IN/124107,Dighal,Haryana,28.75,76.6167,4
IN/124108,Machhrauli,Haryana,28.4667,76.65,4
IN/124109,Dhakala,Haryana,28.62,76.67,
IN/124110,Bahu Akbarpur,Haryana,28.8917,76.4167,
IN/124111,Madina,Haryana,28.95,76.4333,4
IN/124112,Meham,Haryana,28.8917,76.4167,
IN/124113,Kalanaur,Haryana,28.8333,76.4,4
IN/124114,Kharak Kalan,Haryana,28.8917,76.4167,
IN/124118,Gochhi,Haryana,28.8917,76.4167,
IN/124120,Bahlba,Haryana,28.7274,76.6286,
IN/124121,Kharkhera,Haryana,28.7274,76.6286,
IN/124124,Katesra,Haryana,28.7274,76.6286,
IN/124125,Jhalri,Haryana,28.7274,76.6286,
IN/124126,Kalinga,Haryana,28.7274,76.6286,
IN/124127,Sisar Khas,Haryana,28.7274,76.6286,
IN/124129,Saman,Haryana,28.7274,76.6286,
IN/124130,Talao,Haryana,28.7274,76.6286,
IN/124131,Jhazgarh,Haryana,28.7274,76.6286,
IN/124132,Ritauli,Haryana,28.7274,76.6286,
IN/124133,M P Majra,Haryana,28.7274,76.6286,
IN/124135,Daura Raja,Haryana,28.7274,76.6286,
IN/124136,Chimni,Haryana,28.7274,76.6286,
IN/124138,Jahangirpur,Haryana,28.7274,76.6286,
IN/124139,Mehrana,Haryana,28.7274,76.6286,
IN/124140,Silana,Haryana,28.9356,76.8458,4
IN/124202,Dobaldhan,Haryana,28.9185,76.7051,
IN/124203,Majra (Rohtak),Haryana,28.9185,76.7051,
IN/124204,Sewana,Haryana,28.9185,76.7051,
IN/124205,Pilana,Haryana,28.9185,76.7051,
IN/124301,Gohana H O,Haryana,29.3834,76.8126,
IN/124303,Sanghi,Haryana,29.0167,76.6167,4
IN/124304,Baroda,Haryana,29.3834,76.8126,
IN/124305,Khanpur,Haryana,29.9336,77.0544,4
IN/124306,Mundlana,Haryana,29.2,76.7667,4
IN/124307,Mehmoodpur,Haryana,29.3834,76.8126,
IN/124308,Ahulana,Haryana,29.3834,76.8126,
IN/124309,Madiana,Haryana,29.3834,76.8126,
IN/124311,Barota,Haryana,29.3834,76.8126,
IN/124314,Jassia,Haryana,29.3834,76.8126,
IN/124315,Gangana,Haryana,29.3834,76.8126,
IN/124316,Garhwal,Haryana,29.3834,76.8126,
IN/124317,Glwana,Haryana,29.3834,76.8126,
IN/124318,Jauli,Haryana,29.3834,76.8126,
IN/124320,Kathura,Haryana,29.3834,76.8126,
IN/124321,Lath,Haryana,29.3834,76.8126,
IN/124322,Katwal,Haryana,29.3834,76.8126,
IN/124324,Rabhra,Haryana,29.3834,76.8126,
IN/124402,Kharkauda,Haryana,28.9397,76.8731,
IN/124403,Rohat,Haryana,28.9344,76.975,4
IN/124404,Hassangarh,Haryana,28.9397,76.8731,
IN/124406,Kansala,Haryana,28.9397,76.8731,
IN/124407,Sisana,Haryana,28.9,76.8333,4
IN/124408,Farmana,Haryana,28.9847,76.8111,4
IN/124411,Aval,Haryana,28.8894,76.7123,
IN/124412,Kahnaur,Haryana,28.75,76.4833,4
IN/124413,Khanda,Haryana,28.9194,76.8981,4
IN/124416,Baliana,Haryana,28.8894,76.7123,
IN/124417,Paksma,Haryana,28.8894,76.7123,
IN/124418,Dobh,Haryana,28.8894,76.7123,
IN/124421,Asan,Haryana,29.4092,76.8781,4
IN/124423,Hamayunpur,Haryana,29.4092,76.8781,
IN/124424,Dhamar,Haryana,29.4092,76.8781,
IN/124425,Samchana,Haryana,29.4092,76.8781,
IN/124426,Rurki (Rohtak),Haryana,29.4092,76.8781,
IN/124427,Chirana,Haryana,29.4092,76.8781,
IN/124428,Rukhi,Haryana,29.4092,76.8781,
IN/124429,Rithal,Haryana,29.4092,76.8781,
IN/124430,Siwana Mall,Haryana,28.9852,76.8049,
IN/124501,Sampla,Haryana,28.7764,76.7667,4
IN/124502,Rohad,Haryana,28.7299,76.8417,
IN/124504,Chhara,Haryana,28.7299,76.8417,
IN/124505,Assandah,Haryana,28.7299,76.8417,
IN/124506,Mandothi,Haryana,28.7299,76.8417,
IN/124507,Bahadurgarh,Haryana,28.6833,76.9167,4
IN/124508,Noona Majra,Haryana,28.7299,76.8417,
IN/124509,Tandaheri,Haryana,28.7299,76.8417,
IN/124510,Matan,Haryana,29.0333,76.4167,
IN/124511,Kharhar,Haryana,29.0333,76.4167,
IN/124513,Nidana,Haryana,29.0333,76.4167,
IN/124514,Lakhan Majra,Haryana,29.0333,76.4167,
IN/124515,Nigana,Haryana,29.0333,76.4167,
IN/124516,Gorawar,Haryana,29.0333,76.4167,
IN/124517,Ismaila,Haryana,29.0333,76.4167,
IN/124518,Barain,Haryana,29.0333,76.4167,
IN/124519,Bainsi,Haryana,29.0333,76.4167,4
IN/124520,Farmana (Rohtak),Haryana,28.831,76.7,
IN/124521,Atail,Haryana,28.831,76.7,
IN/124522,Ajaib,Haryana,28.831,76.7,
IN/124523,Chandi,Haryana,28.831,76.7,
IN/124524,Chiri,Haryana,28.831,76.7,
IN/124525,Barahi,Haryana,28.831,76.7,
IN/124527,Chaushala,Haryana,28.831,76.7,
IN/124528,Dulhera,Haryana,28.831,76.7,
IN/124529,Gandhra,Haryana,28.831,76.7,
IN/124530,Kanaunda,Haryana,28.831,76.7,
IN/124531,Nilauthi,Haryana,28.831,76.7,
IN/124532,Rohna,Haryana,28.831,76.7,
IN/124533,Kharainti,Haryana,28.831,76.7,
IN/125001,Hissar City,Haryana,29.1118,75.7598,
IN/125002,Hissar Textile Mills,Haryana,29.1118,75.7598,
IN/125003,Patel Nagar Hissar,Haryana,29.1118,75.7598,
IN/125004,Hissar Agricultural Unive,Haryana,29.1118,75.7598,
IN/125005,Model Town Hissar,Haryana,29.1118,75.7598,
IN/125011,Hissar B S F,Haryana,29.1118,75.7598,
IN/125012,Arya Nagar Hissar,Haryana,29.1118,75.7598,
IN/125024,Dinod,Haryana,28.8,76.075,
IN/125025,Devsar,Haryana,28.8,76.075,
IN/125026,Bapora,Haryana,28.8,76.075,
IN/125027,Chang,Haryana,28.8833,76.25,4
IN/125028,Behal,Haryana,28.8,76.075,
IN/125029,Kairu,Haryana,28.7167,75.9,4
IN/125030,Jui Khurd,Haryana,28.65,75.95,4
IN/125031,Tigrana,Haryana,28.9833,76.0083,
IN/125032,Bawani Khera,Haryana,28.9833,76.0083,
IN/125033,Hansi,Haryana,29.1,75.9667,4
IN/125034,Road Hansi,Haryana,28.9833,76.0083,
IN/125035,Jamalpur,Haryana,28.9667,75.9667,4
IN/125036,Deorala,Haryana,28.9833,76.0083,
IN/125037,Nalwa,Haryana,28.9833,76.0083,
IN/125038,Khanda Khuri,Haryana,28.9833,76.0083,
IN/125039,Narnaund,Haryana,29.2167,76.15,4
IN/125040,Tosham,Haryana,28.8833,75.9167,4
IN/125041,Mundal Khurd,Haryana,29.1167,75.725,
IN/125042,Bass,Haryana,29.1167,75.725,
IN/125043,Rodhan,Haryana,29.1167,75.725,
IN/125044,Satrod Khurd,Haryana,29.1167,75.725,
IN/125045,Barwa,Haryana,28.9667,75.6167,4
IN/125046,Sewani,Haryana,28.9167,75.6167,4
IN/125047,Agroha,Haryana,29.3333,75.6333,4
IN/125048,Badopal,Haryana,29.4167,75.55,4
IN/125049,Sisai,Haryana,29.1833,76.0167,4
IN/125050,Fatehabad (Hissar),Haryana,29.5333,75.0167,
IN/125051,Rattia,Haryana,29.5333,75.0167,
IN/125052,Mandi Adampur,Haryana,29.5333,75.0167,
IN/125054,Bahudin,Haryana,29.5333,75.0167,
IN/125055,Sirsa Town,Haryana,29.5333,75.0167,
IN/125056,Sirsa,Haryana,29.5333,75.0167,4
IN/125057,Khairpur,Haryana,29.5333,75.0167,
IN/125058,Ding,Haryana,29.5333,75.0167,
IN/125060,Sikanderpur,Haryana,28.9333,76.1667,
IN/125061,Bamla,Haryana,28.9333,76.1667,
IN/125062,Dhanana,Haryana,28.9333,76.1667,4
IN/125063,Dhani (Mahu),Haryana,28.9333,76.1667,
IN/125064,Dhigwan Jatan,Haryana,28.9333,76.1667,
IN/125065,Lohni,Haryana,28.9333,76.1667,
IN/125066,Mehnda,Haryana,28.9333,76.1667,
IN/125067,Rewasa,Haryana,28.9333,76.1667,
IN/125069,Bassi,Haryana,28.9333,76.1667,
IN/125071,Dhana Kalan,Haryana,29.5917,75.15,
IN/125073,Mirchpur,Haryana,29.5917,75.15,
IN/125074,Petwar,Haryana,29.5917,75.15,
IN/125076,Rania,Haryana,29.5333,74.8333,4
IN/125077,Odban,Haryana,29.5917,75.15,
IN/125078,Baragudah,Haryana,29.5917,75.15,
IN/125079,Haroli,Haryana,29.65,75.4667,4
IN/125081,Chanot,Haryana,29.0167,75.9,
IN/125082,Puthi Mangal Khan,Haryana,29.0167,75.9,
IN/125083,Umra,Haryana,29.0167,75.9,4
IN/125084,Jamauri,Haryana,29.0167,75.9,
IN/125086,Kharar Ailapur,Haryana,29.0167,75.9,
IN/125087,Ladwa(Hissar),Haryana,29.0167,75.9,
IN/125088,Mohamadpur Rohi,Haryana,29.0167,75.9,
IN/125101,Chautala,Haryana,29.7833,74.5333,4
IN/125102,Ellenabad,Haryana,29.45,74.65,4
IN/125103,Goriwala,Haryana,29.4278,74.9722,
IN/125104,Mandi Dabwali,Haryana,29.4278,74.9722,
IN/125105,Mangali,Haryana,29.05,75.7333,4
IN/125106,Dharsul Kalan,Haryana,29.4278,74.9722,
IN/125107,Abushahar,Haryana,29.4278,74.9722,
IN/125108,Hazarawan Kalan,Haryana,29.4278,74.9722,
IN/125109,Mohbatpur,Haryana,29.4278,74.9722,
IN/125112,Safidon,Haryana,29.4167,76.6667,4
IN/125201,Kalanwali,Haryana,29.85,74.95,4
IN/125202,Rori,Haryana,29.75,75.2,4
IN/125203,Amritsar Khan,Haryana,29.8,75.075,
IN/126001,Jakhal Mandi,Haryana,29.8,75.8333,4
IN/126006,Daulatpur (Hissar),Haryana,29.6583,75.85,
IN/126007,Pabra,Haryana,29.6583,75.85,
IN/126009,Uklana Mandi,Haryana,29.5167,75.8667,4
IN/126010,Barwala,Haryana,29.3833,75.9167,4
IN/126011,Barwala Mandi,Haryana,29.3833,75.9167,
IN/126014,Rajli,Haryana,29.3833,75.9167,
IN/126015,Prabhuwala,Haryana,29.3833,75.9167,
IN/126025,Nehla,Haryana,29.5667,75.8722,
IN/126027,Hassangarh (Hissar),Haryana,29.5667,75.8722,
IN/126101,Julana,Haryana,29.1333,76.4167,4
IN/126102,Chaura Kuam Jind,Haryana,29.1333,76.4167,
IN/126104,Deorad,Haryana,29.1333,76.4167,
IN/126105,Igrah,Haryana,29.1333,76.4167,
IN/126106,Kandela,Haryana,29.1333,76.4167,
IN/126108,Malui,Haryana,29.1333,76.4167,
IN/126109,Pauli,Haryana,29.1333,76.4167,
IN/126110,Ram Rai,Haryana,29.6517,76.318,
IN/126111,Shahpur,Haryana,29.8236,77.0886,4
IN/126113,Pilukhera,Haryana,29.6517,76.318,
IN/126114,Shamlo Kalan,Haryana,29.6517,76.318,
IN/126115,Uchana,Haryana,29.4667,76.1667,4
IN/126116,Nangal Fertilizer,Haryana,29.6167,76.1167,
IN/126117,Kalayar,Haryana,29.6517,76.318,
IN/126118,Dhamta Sahib,Haryana,29.6517,76.318,
IN/126119,Tohana,Haryana,29.7,75.9,4
IN/126120,Tohanamandi,Haryana,29.3833,76.55,
IN/126121,Kalwa,Haryana,29.3833,76.55,4
IN/126122,Kanheri,Haryana,29.3833,76.55,
IN/126123,Samain,Haryana,29.3833,76.55,
IN/126124,Baroda Jind,Haryana,29.3833,76.55,
IN/126126,Balerkha,Haryana,29.3833,76.55,
IN/126127,Dablain,Haryana,29.3833,76.55,
IN/126128,Dhakal,Haryana,29.3833,76.55,
IN/126129,Didwara,Haryana,29.3833,76.55,
IN/126130,Gangooli,Haryana,29.5274,76.2272,
IN/126131,Garhwali,Haryana,29.5274,76.2272,
IN/126132,Ghatauli,Haryana,29.5274,76.2272,
IN/126133,Kalayat Mandi,Haryana,29.5274,76.2272,
IN/126135,Lawan,Haryana,29.5274,76.2272,
IN/126139,Seemla,Haryana,29.5274,76.2272,
IN/126140,Ujhana,Haryana,29.7167,76.1333,4
IN/126141,Hat,Haryana,29.3333,76.6167,4
IN/126143,Dhigana,Haryana,29.5375,76.0083,
IN/126145,Balu,Haryana,29.65,76.3667,4
IN/126149,Singhana,Haryana,29.45,74.9167,4
IN/126150,Sewaha,Haryana,29.5274,76.2272,
IN/126151,Badanpur,Haryana,29.5274,76.2272,
IN/126152,Dhanoda Kalan,Haryana,29.5274,76.2272,
IN/126153,Danoda,Haryana,29.5274,76.2272,
IN/126154,Dharaudhi,Haryana,29.5274,76.2272,
IN/131001,Model Town,Haryana,29.2,76.8167,
IN/131021,Bahalgarh,Haryana,29.2,76.8167,
IN/131023,Jakhauli,Haryana,29.6667,76.4333,4
IN/131024,Juan,Haryana,29.0667,76.9,4
IN/131025,Mohana,Haryana,29.0333,76.85,4
IN/131026,Jaswarkheri,Haryana,29.2,76.8167,
IN/131027,Murthal,Haryana,29.0333,77.0833,4
IN/131029,P S Rai,Haryana,29.2,76.8167,
IN/131030,Rathdana,Haryana,29.2,76.8167,
IN/131031,Rattan Garh,Haryana,29.2,76.8167,
IN/131032,Pipli Khera,Haryana,29.2,76.8167,
IN/131034,Barabansi,Haryana,29.2,76.8167,
IN/131035,Harsana Kalan,Haryana,29.2,76.8167,
IN/131036,Lehrana,Haryana,29.2,76.8167,
IN/131038,Pipli ( Sonepat),Haryana,29.2,76.8167,
IN/131101,Ganaur,Haryana,29.1167,76.95,
IN/131102,Purkhas,Haryana,29.1167,76.95,4
IN/131103,Nahri,Haryana,29.1167,76.95,
IN/131104,Akbarpur Barota,Haryana,29.1167,76.95,
IN/131105,Bega,Haryana,29.1167,76.95,
IN/131107,Khanda (Sonepat),Haryana,29.1167,76.95,
IN/131108,Chhetera Bhadupur,Haryana,29.1167,76.95,
IN/131109,Datauli,Haryana,29.1167,76.95,
IN/131110,Ghasauli,Haryana,28.9514,76.5278,
IN/131112,Kakaroi,Haryana,28.9514,76.5278,
IN/131113,Gopalpur,Haryana,28.9514,76.5278,4
IN/131114,Mehlana,Haryana,28.9514,76.5278,
IN/131115,Chulkana (Sonepat),Haryana,28.9514,76.5278,
IN/132001,Karnal M T,Haryana,29.752,76.6199,
IN/132002,Sanghowa,Haryana,29.752,76.6199,
IN/132021,Kaul,Haryana,29.85,76.6667,4
IN/132024,Nissing,Haryana,29.8,76.5333,
IN/132025,Kachhawa,Haryana,29.8,76.5333,
IN/132026,Pundri,Haryana,29.75,76.55,4
IN/132027,Kaithal,Haryana,29.8,76.3833,4
IN/132034,Chika,Haryana,30.0489,76.3444,4
IN/132035,Guhla,Haryana,30.0386,76.3,4
IN/132036,Jundla,Haryana,29.65,76.8667,4
IN/132037,Madhuban,Haryana,29.6056,76.9803,4
IN/132038,Amin,Haryana,29.9167,76.85,4
IN/132039,Assandh,Haryana,29.8519,76.6683,
IN/132040,Ballah,Haryana,29.65,76.5667,
IN/132041,Indri Industrial Area,Haryana,29.65,76.5667,
IN/132042,Fatehpur,Haryana,29.7833,76.55,4
IN/132043,Pai,Haryana,29.7167,76.5167,4
IN/132044,Rajaund,Haryana,29.5833,76.4833,4
IN/132045,Mowana,Haryana,29.65,76.5667,
IN/132046,Salwan,Haryana,29.5167,76.7167,4
IN/132047,Jakoli,Haryana,29.65,76.5667,
IN/132048,Pabnawa,Haryana,29.65,76.5667,
IN/132049,Manas,Haryana,29.65,76.5667,
IN/132050,Gheer,Haryana,29.5167,76.85,
IN/132051,Munak,Haryana,29.5167,76.85,4
IN/132052,Gonder,Haryana,29.5167,76.85,
IN/132058,Gondhar,Haryana,29.5167,76.85,
IN/132101,Samalkha,Haryana,29.2333,77.0167,4
IN/132102,Patti Kalan,Haryana,29.3111,76.9924,
IN/132103,Panipat Mandi,Haryana,29.3111,76.9924,
IN/132104,Panipat G T Road,Haryana,29.3111,76.9924,
IN/132105,Project Plan,Haryana,29.3111,76.9924,
IN/132106,Project Panipat,Haryana,29.3111,76.9924,
IN/132108,Panipat,Haryana,29.3889,76.9681,4
IN/132109,Chulkana,Haryana,29.3111,76.9924,
IN/132110,Sewah,Haryana,29.6854,76.9442,
IN/132111,Gharaunda,Haryana,29.5375,76.9717,4
IN/132112,Dhatrat,Haryana,29.6854,76.9442,
IN/132113,Madlanda,Haryana,29.6854,76.9442,
IN/132115,Hathwala,Haryana,29.6854,76.9442,
IN/132116,Tarauri,Haryana,29.6854,76.9442,
IN/132117,Nilokheri,Haryana,29.8333,76.9167,4
IN/132118,Engg College Kurukshetra,Haryana,29.6854,76.9442,
IN/132120,Jyotisar,Haryana,29.9669,76.7443,
IN/132121,Naguran,Haryana,29.9669,76.7443,
IN/132123,Rambha,Haryana,29.8,76.9833,4
IN/132124,Vehana,Haryana,29.9669,76.7443,
IN/132125,Saunkra,Haryana,29.9669,76.7443,
IN/132128,Pehowa,Haryana,29.9833,76.5833,4
IN/132129,Ismailabad,Haryana,30.1172,76.6661,4
IN/132130,Jhansa,Haryana,29.9228,76.9344,
IN/132131,Pipli (Kurukshetra),Haryana,29.9228,76.9344,
IN/132132,Ladwa,Haryana,29.9944,77.0444,4
IN/132133,Radaur,Haryana,30.0333,77.15,4
IN/132134,Daula,Haryana,29.9228,76.9344,
IN/132135,Shahbad Markhanda,Haryana,29.9228,76.9344,
IN/132136,Thol,Haryana,29.9228,76.9344,
IN/132137,Umri,Haryana,29.9467,76.9097,4
IN/132138,Habri,Haryana,29.7167,76.6333,4
IN/132142,Dahar,Haryana,29.3092,76.9014,
IN/132143,Dikadia,Haryana,29.3092,76.9014,
IN/132144,Jaurasi,Haryana,29.3092,76.9014,
IN/132145,Naultha,Haryana,29.3092,76.9014,4
IN/132146,Ahar,Haryana,29.3092,76.9014,
IN/132149,Mahoti,Haryana,29.3092,76.9014,
IN/132150,Naraina,Haryana,29.4167,74.55,
IN/132151,Noorwala,Haryana,29.4167,74.55,
IN/132152,Rampura,Haryana,29.4167,74.55,4
IN/132153,Sonepat Mandi,Haryana,29.4167,74.55,
IN/132154,Babail,Haryana,29.4167,74.55,
IN/133001,Ambala,Haryana,30.3783,76.7808,4
IN/133004,Ambala Cantt,Haryana,25.4808,78.7571,
IN/133005,Babyal,Haryana,25.4808,78.7571,
IN/133102,Kesri,Haryana,30.2,77.15,
IN/133104,Saha,Haryana,30.3097,76.975,4
IN/133105,Kalawar,Haryana,30.2549,77.0625,
IN/133201,Barara,Haryana,30.3833,77.2167,
IN/133202,Dhin,Haryana,30.3833,77.2167,
IN/133203,Mullana,Haryana,30.3833,77.2167,
IN/133204,Sadhaura,Haryana,30.3833,77.2167,4
